,City,Population,ViolentCrime,Murder,Rape,Robbery,AggAssault,PropertyCrime,Burglary,Theft,VehicleTheft,Arson
395,South Gate,94445.0,622.0,4.0,21.0,179.0,418.0,2754.0,351.0,1663.0,740.0,26.0
396,South Lake Tahoe,22116.0,111.0,2.0,10.0,20.0,79.0,449.0,79.0,335.0,35.0,0.0
397,South Pasadena,25612.0,29.0,0.0,2.0,11.0,16.0,566.0,94.0,434.0,38.0,0.0
398,South San Francisco,68251.0,166.0,2.0,19.0,64.0,81.0,1484.0,230.0,1074.0,180.0,7.0
399,Stallion Springs,2648.0,7.0,1.0,1.0,0.0,5.0,19.0,5.0,13.0,1.0,0.0
400,Stanton,38276.0,95.0,3.0,10.0,31.0,51.0,526.0,83.0,344.0,99.0,7.0
401,St. Helena,6195.0,12.0,0.0,1.0,1.0,10.0,67.0,21.0,43.0,3.0,0.0
402,Stockton,313604.0,4380.0,34.0,181.0,1158.0,3007.0,12367.0,2209.0,8480.0,1678.0,128.0
403,Suisun City,29922.0,114.0,0.0,11.0,35.0,68.0,664.0,69.0,479.0,116.0,11.0
404,Sunnyvale,154859.0,259.0,0.0,37.0,84.0,138.0,3380.0,458.0,2598.0,324.0,32.0
405,Susanville,14878.0,196.0,0.0,7.0,10.0,179.0,207.0,45.0,157.0,5.0,0.0
406,Sutter Creek,2624.0,3.0,0.0,1.0,0.0,2.0,44.0,8.0,30.0,6.0,2.0
407,Taft,9413.0,67.0,0.0,6.0,4.0,57.0,244.0,70.0,149.0,25.0,0.0
408,Tehachapi,12211.0,60.0,2.0,8.0,7.0,43.0,327.0,70.0,231.0,26.0,0.0
409,Temecula,116630.0,166.0,1.0,8.0,72.0,85.0,2626.0,318.0,2018.0,290.0,5.0
410,Temple City,36192.0,64.0,1.0,7.0,23.0,33.0,331.0,122.0,175.0,34.0,1.0
411,Thousand Oaks,127811.0,88.0,0.0,27.0,23.0,38.0,1392.0,244.0,1084.0,64.0,2.0
412,Tiburon,9135.0,0.0,0.0,0.0,0.0,0.0,82.0,13.0,67.0,2.0,0.0
413,Torrance,145183.0,280.0,3.0,26.0,114.0,137.0,2853.0,399.0,2161.0,293.0,12.0
414,Tracy,92895.0,166.0,5.0,35.0,62.0,64.0,1843.0,156.0,1411.0,276.0,14.0
415,Truckee,16611.0,31.0,0.0,3.0,4.0,24.0,114.0,36.0,66.0,12.0,1.0
416,Tulare,65134.0,261.0,4.0,27.0,69.0,161.0,1469.0,225.0,951.0,293.0,11.0
417,Tulelake,985.0,3.0,0.0,1.0,0.0,2.0,4.0,1.0,3.0,0.0,0.0
418,Turlock,74120.0,426.0,1.0,29.0,138.0,258.0,2323.0,402.0,1483.0,438.0,34.0
419,Tustin,80356.0,141.0,1.0,16.0,61.0,63.0,2118.0,241.0,1694.0,183.0,6.0
420,Twentynine Palms,26588.0,117.0,0.0,10.0,15.0,92.0,265.0,96.0,134.0,35.0,4.0
421,Ukiah,16197.0,110.0,1.0,9.0,24.0,76.0,298.0,117.0,147.0,34.0,23.0
422,Union City,75202.0,277.0,2.0,8.0,79.0,188.0,1718.0,192.0,1300.0,226.0,9.0
423,Upland,77398.0,298.0,3.0,20.0,107.0,168.0,1821.0,368.0,1206.0,247.0,11.0
424,Vacaville,101147.0,331.0,3.0,47.0,80.0,201.0,2442.0,162.0,2120.0,160.0,8.0
425,Vallejo,122657.0,1037.0,12.0,138.0,336.0,551.0,4941.0,2888.0,1148.0,905.0,52.0
426,Ventura,111596.0,458.0,3.0,56.0,106.0,293.0,2969.0,353.0,2362.0,254.0,7.0
427,Vernon,112.0,27.0,0.0,1.0,12.0,14.0,485.0,133.0,272.0,80.0,5.0
428,Victorville,123089.0,988.0,5.0,45.0,255.0,683.0,2271.0,590.0,1061.0,620.0,21.0
429,Villa Park,5840.0,4.0,0.0,0.0,0.0,4.0,44.0,9.0,35.0,0.0,0.0
430,Visalia,134961.0,586.0,4.0,111.0,159.0,312.0,3900.0,747.0,2627.0,526.0,20.0
431,Vista,102227.0,354.0,2.0,38.0,93.0,221.0,1438.0,251.0,945.0,242.0,6.0
432,Walnut,30108.0,38.0,0.0,4.0,14.0,20.0,386.0,152.0,207.0,27.0,0.0
433,Walnut Creek,70546.0,120.0,0.0,6.0,40.0,74.0,2496.0,307.0,2034.0,155.0,4.0
434,Waterford,9021.0,13.0,0.0,1.0,5.0,7.0,143.0,17.0,76.0,50.0,0.0
435,Watsonville,54261.0,328.0,1.0,37.0,53.0,237.0,971.0,148.0,589.0,234.0,8.0
436,Weed,2673.0,34.0,0.0,3.0,4.0,27.0,55.0,8.0,38.0,9.0,0.0
437,West Covina,106335.0,260.0,6.0,21.0,129.0,104.0,2369.0,354.0,1660.0,355.0,15.0
438,West Hollywood,37173.0,294.0,0.0,24.0,139.0,131.0,1898.0,215.0,1566.0,117.0,9.0
439,Westlake Village,8358.0,13.0,0.0,5.0,6.0,2.0,189.0,44.0,140.0,5.0,0.0
440,Westminster,91086.0,259.0,0.0,19.0,122.0,118.0,2611.0,511.0,1824.0,276.0,22.0
441,West Sacramento,54372.0,212.0,1.0,34.0,79.0,98.0,1603.0,236.0,1158.0,209.0,26.0
442,Wheatland,3940.0,6.0,0.0,0.0,1.0,5.0,43.0,8.0,26.0,9.0,0.0
443,Whittier,86158.0,213.0,1.0,27.0,93.0,92.0,1901.0,318.0,1278.0,305.0,7.0
444,Wildomar,37939.0,61.0,0.0,1.0,12.0,48.0,637.0,101.0,375.0,161.0,1.0
445,Williams,5348.0,20.0,0.0,3.0,4.0,13.0,76.0,28.0,34.0,14.0,2.0
446,Willits,4937.0,16.0,0.0,2.0,6.0,8.0,92.0,28.0,51.0,13.0,2.0
447,Windsor,27981.0,58.0,0.0,8.0,8.0,42.0,257.0,30.0,212.0,15.0,0.0
448,Winters,7374.0,11.0,0.0,0.0,1.0,10.0,115.0,19.0,81.0,15.0,3.0
449,Woodlake,7682.0,28.0,0.0,4.0,2.0,22.0,88.0,14.0,61.0,13.0,0.0
450,Woodland,61176.0,224.0,3.0,18.0,44.0,159.0,1488.0,231.0,1062.0,195.0,52.0
451,Yorba Linda,68225.0,42.0,0.0,3.0,17.0,22.0,627.0,140.0,433.0,54.0,1.0
452,Yountville,2988.0,5.0,0.0,0.0,0.0,5.0,42.0,5.0,36.0,1.0,1.0
453,Yreka,7527.0,28.0,0.0,0.0,1.0,27.0,235.0,34.0,172.0,29.0,0.0
454,Yuba City,67164.0,241.0,3.0,28.0,52.0,158.0,1823.0,230.0,1334.0,259.0,7.0
455,Yucaipa,53964.0,200.0,3.0,14.0,31.0,152.0,641.0,172.0,365.0,104.0,0.0
456,Yucca Valley,21858.0,160.0,0.0,9.0,25.0,126.0,292.0,84.0,157.0,51.0,3.0
