,City,Population,ViolentCrime,Murder,Rape,Robbery,AggAssault,PropertyCrime,Burglary,Theft,VehicleTheft,Arson
209,Lake Shastina,2566.0,3.0,0.0,0.0,0.0,3.0,10.0,2.0,6.0,2.0,0.0
210,Lakewood,80151.0,222.0,0.0,20.0,104.0,98.0,1846.0,303.0,1354.0,189.0,3.0
211,La Mesa,59865.0,174.0,1.0,22.0,76.0,75.0,1000.0,138.0,715.0,147.0,2.0
212,La Mirada,48702.0,86.0,0.0,6.0,28.0,52.0,701.0,145.0,463.0,93.0,3.0
213,Lancaster,159335.0,1359.0,7.0,114.0,374.0,864.0,3346.0,792.0,1916.0,638.0,49.0
214,La Palma,15571.0,17.0,0.0,1.0,7.0,9.0,302.0,41.0,242.0,19.0,1.0
215,La Puente,39916.0,151.0,3.0,6.0,53.0,89.0,449.0,75.0,248.0,126.0,5.0
216,La Quinta,42044.0,68.0,5.0,5.0,17.0,41.0,1032.0,158.0,809.0,65.0,1.0
217,La Verne,32344.0,51.0,1.0,6.0,13.0,31.0,627.0,133.0,447.0,47.0,2.0
218,Lawndale,32751.0,125.0,1.0,6.0,40.0,78.0,411.0,83.0,228.0,100.0,4.0
219,Lemon Grove,27175.0,167.0,2.0,4.0,54.0,107.0,552.0,67.0,365.0,120.0,1.0
220,Lemoore,26728.0,126.0,1.0,17.0,14.0,94.0,372.0,71.0,264.0,37.0,6.0
221,Lincoln,48625.0,32.0,0.0,4.0,4.0,24.0,468.0,78.0,351.0,39.0,2.0
222,Lindsay,13708.0,69.0,0.0,5.0,13.0,51.0,250.0,48.0,119.0,83.0,8.0
223,Livermore,91418.0,193.0,2.0,30.0,39.0,122.0,1554.0,139.0,1279.0,136.0,4.0
224,Livingston,14607.0,40.0,0.0,1.0,11.0,28.0,315.0,85.0,164.0,66.0,0.0
225,Lodi,67612.0,237.0,3.0,16.0,88.0,130.0,1658.0,358.0,1016.0,284.0,15.0
226,Loma Linda,24512.0,77.0,0.0,7.0,17.0,53.0,559.0,125.0,336.0,98.0,5.0
227,Lomita,20553.0,67.0,0.0,4.0,26.0,37.0,254.0,53.0,161.0,40.0,2.0
228,Lompoc,42818.0,291.0,7.0,29.0,32.0,223.0,1057.0,238.0,583.0,236.0,18.0
229,Long Beach,467974.0,2369.0,34.0,249.0,958.0,1128.0,11297.0,2185.0,6754.0,2358.0,153.0
230,Los Alamitos,11541.0,6.0,0.0,1.0,3.0,2.0,130.0,41.0,73.0,16.0,1.0
231,Los Altos,30716.0,21.0,0.0,3.0,4.0,14.0,310.0,107.0,181.0,22.0,3.0
232,Los Altos Hills,8622.0,3.0,0.0,1.0,0.0,2.0,67.0,29.0,38.0,0.0,0.0
233,Los Angeles,4015546.0,29400.0,258.0,2274.0,9652.0,17216.0,95704.0,13809.0,66253.0,15642.0,1672.0
234,Los Banos,40607.0,143.0,2.0,12.0,36.0,93.0,886.0,231.0,506.0,149.0,5.0
235,Los Gatos,30793.0,14.0,0.0,2.0,6.0,6.0,419.0,57.0,332.0,30.0,0.0
236,Lynwood,70619.0,454.0,1.0,21.0,218.0,214.0,1419.0,189.0,723.0,507.0,14.0
237,Madera,66250.0,334.0,2.0,32.0,77.0,223.0,1301.0,235.0,824.0,242.0,10.0
238,Malibu,12794.0,44.0,1.0,5.0,16.0,22.0,416.0,86.0,311.0,19.0,3.0
239,Mammoth Lakes,8114.0,42.0,0.0,15.0,1.0,26.0,131.0,17.0,105.0,9.0,2.0
240,Manhattan Beach,35583.0,55.0,0.0,5.0,33.0,17.0,851.0,160.0,648.0,43.0,1.0
241,Manteca,83523.0,199.0,3.0,27.0,66.0,103.0,1848.0,239.0,1327.0,282.0,18.0
242,Marina,22911.0,43.0,0.0,6.0,10.0,27.0,361.0,67.0,242.0,52.0,1.0
243,Martinez,38692.0,83.0,0.0,17.0,26.0,40.0,570.0,99.0,386.0,85.0,11.0
244,Marysville,12572.0,116.0,2.0,20.0,23.0,71.0,541.0,81.0,324.0,136.0,9.0
245,Maywood,27286.0,90.0,2.0,7.0,23.0,58.0,296.0,60.0,143.0,93.0,3.0
246,McFarland,15529.0,67.0,3.0,14.0,9.0,41.0,163.0,52.0,53.0,58.0,21.0
247,Mendota,11433.0,83.0,1.0,4.0,4.0,74.0,155.0,45.0,50.0,60.0,1.0
248,Menifee,94595.0,145.0,2.0,4.0,47.0,92.0,1892.0,269.0,1273.0,350.0,0.0
249,Menlo Park,34871.0,50.0,0.0,16.0,13.0,21.0,774.0,110.0,633.0,31.0,0.0
250,Merced,83854.0,540.0,5.0,34.0,103.0,398.0,2342.0,396.0,1439.0,507.0,70.0
251,Mill Valley,14343.0,20.0,0.0,1.0,9.0,10.0,223.0,36.0,177.0,10.0,1.0
252,Milpitas,82344.0,102.0,2.0,15.0,48.0,37.0,2193.0,201.0,1791.0,201.0,2.0
253,Mission Viejo,95453.0,65.0,1.0,8.0,22.0,34.0,866.0,121.0,689.0,56.0,5.0
254,Modesto,216542.0,1758.0,13.0,94.0,399.0,1252.0,7183.0,1149.0,4849.0,1185.0,95.0
255,Monrovia,36730.0,43.0,1.0,9.0,16.0,17.0,845.0,87.0,686.0,72.0,10.0
256,Montague,1399.0,8.0,0.0,1.0,0.0,7.0,32.0,15.0,13.0,4.0,0.0
257,Montclair,39787.0,234.0,2.0,35.0,70.0,127.0,1469.0,355.0,868.0,246.0,24.0
258,Montebello,62650.0,178.0,0.0,11.0,90.0,77.0,1448.0,480.0,580.0,388.0,81.0
259,Monterey,28337.0,78.0,0.0,11.0,23.0,44.0,975.0,127.0,774.0,74.0,4.0
260,Monterey Park,60424.0,126.0,0.0,7.0,59.0,60.0,1355.0,267.0,929.0,159.0,0.0
261,Monte Sereno,3507.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,9.0,1.0,0.0
262,Moorpark,36826.0,26.0,0.0,7.0,7.0,12.0,228.0,34.0,183.0,11.0,0.0
263,Moraga,17908.0,23.0,0.0,1.0,3.0,19.0,124.0,36.0,79.0,9.0,3.0
264,Moreno Valley,210979.0,847.0,15.0,19.0,290.0,523.0,5534.0,966.0,3489.0,1079.0,9.0
265,Morgan Hill,46118.0,52.0,2.0,3.0,14.0,33.0,703.0,102.0,507.0,94.0,0.0
266,Morro Bay,10624.0,21.0,0.0,1.0,3.0,17.0,127.0,15.0,102.0,10.0,0.0
267,Mountain View,84599.0,165.0,0.0,20.0,49.0,96.0,2463.0,321.0,2030.0,112.0,6.0
268,Mount Shasta,3274.0,12.0,1.0,0.0,2.0,9.0,35.0,5.0,24.0,6.0,0.0
269,Murrieta,116413.0,77.0,3.0,19.0,26.0,29.0,1512.0,206.0,1080.0,226.0,4.0
270,Napa,79526.0,280.0,1.0,66.0,55.0,158.0,1232.0,248.0,847.0,137.0,46.0
271,National City,61791.0,364.0,0.0,26.0,130.0,208.0,1123.0,114.0,735.0,274.0,5.0
272,Needles,5001.0,71.0,1.0,4.0,6.0,60.0,174.0,66.0,97.0,11.0,10.0
273,Nevada City,3150.0,15.0,0.0,4.0,1.0,10.0,89.0,26.0,49.0,14.0,1.0
274,Newark,48945.0,85.0,0.0,13.0,40.0,32.0,1399.0,187.0,1090.0,122.0,6.0
275,Newman,11844.0,16.0,0.0,2.0,3.0,11.0,113.0,25.0,68.0,20.0,1.0
276,Newport Beach,85325.0,135.0,5.0,29.0,32.0,69.0,1764.0,273.0,1344.0,147.0,7.0
277,Norco,26557.0,49.0,0.0,3.0,14.0,32.0,669.0,136.0,434.0,99.0,0.0
278,Norwalk,105067.0,432.0,5.0,21.0,138.0,268.0,1571.0,343.0,922.0,306.0,18.0
279,Novato,56134.0,148.0,0.0,6.0,26.0,116.0,890.0,102.0,711.0,77.0,3.0
280,Oakdale,23808.0,40.0,1.0,5.0,9.0,25.0,531.0,99.0,342.0,90.0,0.0
281,Oakland,434036.0,5520.0,78.0,372.0,2859.0,2211.0,27868.0,2599.0,20228.0,5041.0,207.0
282,Oakley,43014.0,51.0,0.0,7.0,17.0,27.0,497.0,74.0,336.0,87.0,3.0
283,Oceanside,177129.0,712.0,4.0,97.0,163.0,448.0,3736.0,426.0,2858.0,452.0,23.0
284,Ojai,7499.0,8.0,0.0,5.0,0.0,3.0,74.0,15.0,56.0,3.0,1.0
285,Ontario,183322.0,659.0,10.0,85.0,223.0,341.0,4290.0,710.0,2652.0,928.0,31.0
