,ZIPCODE,State,City,Metro,CountyName,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31
869,93036,CA,Oxnard,"Oxnard-Thousand Oaks-Ventura, CA",Ventura County,509906.0,510340.0,511766.0,513551.0,515027.0,514562.0,514271.0,514771.0,516530.0,519128.0,520251.0,523535.0
870,91767,CA,Pomona,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,448409.0,447336.0,447176.0,447466.0,448626.0,449995.0,449313.0,449535.0,451158.0,454586.0,457293.0,460052.0
872,92234,CA,Cathedral City,"Riverside-San Bernardino-Ontario, CA",Riverside County,304880.0,306606.0,309014.0,310304.0,311054.0,311945.0,314043.0,316307.0,318218.0,320418.0,321358.0,323655.0
874,90703,CA,Cerritos,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,736632.0,733805.0,730690.0,728699.0,728101.0,729109.0,725658.0,724915.0,726189.0,731211.0,733386.0,735165.0
875,95351,CA,Modesto,"Modesto, CA",Stanislaus County,246383.0,247173.0,247243.0,249557.0,250724.0,251872.0,250488.0,250348.0,250540.0,252843.0,254175.0,255926.0
879,92879,CA,Corona,"Riverside-San Bernardino-Ontario, CA",Riverside County,441366.0,442835.0,445053.0,445498.0,445226.0,445141.0,445664.0,446297.0,445938.0,447806.0,448513.0,451943.0
884,94014,CA,Daly City,"San Francisco-Oakland-Berkeley, CA",San Mateo County,965793.0,959711.0,954852.0,956113.0,955009.0,956218.0,956942.0,954953.0,957949.0,957957.0,963366.0,969214.0
885,93117,CA,Goleta,"Santa Maria-Santa Barbara, CA",Santa Barbara County,858836.0,859529.0,853440.0,851142.0,849092.0,851840.0,850624.0,851025.0,850048.0,854473.0,858036.0,864092.0
905,92656,CA,Aliso Viejo,"Los Angeles-Long Beach-Anaheim, CA",Orange County,619789.0,618136.0,617122.0,615661.0,614986.0,613135.0,612096.0,611546.0,614428.0,616852.0,617378.0,616168.0
908,92069,CA,San Marcos,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,552325.0,550020.0,549607.0,552392.0,554207.0,555684.0,556868.0,557705.0,558020.0,558788.0,560946.0,562503.0
940,90630,CA,Cypress,"Los Angeles-Long Beach-Anaheim, CA",Orange County,675525.0,673287.0,672947.0,671933.0,673594.0,673746.0,675429.0,677533.0,682258.0,686312.0,686721.0,686193.0
943,92128,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,625483.0,622545.0,621936.0,624618.0,625062.0,625677.0,627345.0,629137.0,629239.0,629472.0,630810.0,632643.0
947,92886,CA,Yorba Linda,"Los Angeles-Long Beach-Anaheim, CA",Orange County,831936.0,829194.0,827652.0,826210.0,826207.0,825193.0,825724.0,828140.0,833633.0,837243.0,836446.0,834203.0
948,93720,CA,Fresno,"Fresno, CA",Fresno County,335122.0,335745.0,337426.0,337906.0,337297.0,337073.0,338094.0,339795.0,339992.0,341132.0,341902.0,343254.0
959,93638,CA,Madera,"Madera, CA",Madera County,210800.0,211920.0,212853.0,213336.0,214546.0,216148.0,217101.0,218317.0,220458.0,221896.0,223375.0,225013.0
961,94577,CA,San Leandro,"San Francisco-Oakland-Berkeley, CA",Alameda County,662808.0,658727.0,658284.0,657686.0,657553.0,658246.0,659997.0,660395.0,660695.0,660013.0,658592.0,660015.0
964,94553,CA,Martinez,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,604227.0,601005.0,595946.0,591299.0,589198.0,587011.0,589049.0,590572.0,592510.0,593938.0,595866.0,599750.0
965,95757,CA,Elk Grove,"Sacramento-Roseville-Folsom, CA",Sacramento County,480642.0,481191.0,481651.0,483927.0,486646.0,488429.0,488088.0,486838.0,487015.0,487912.0,491371.0,495275.0
983,92843,CA,Garden Grove,"Los Angeles-Long Beach-Anaheim, CA",Orange County,585691.0,585408.0,586527.0,586789.0,588502.0,589344.0,591053.0,593612.0,598340.0,601561.0,601512.0,600303.0
986,95136,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,1007884.0,994809.0,982608.0,976315.0,967904.0,956834.0,946239.0,938573.0,941891.0,942056.0,945479.0,947396.0
995,93455,CA,Santa Maria,"Santa Maria-Santa Barbara, CA",Santa Barbara County,444077.0,445127.0,443778.0,442947.0,442209.0,443709.0,443325.0,444044.0,443374.0,445370.0,446285.0,448973.0
