city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Newberry Springs,131843.0,133495.0,134223.0,133999.0,133460.0,132456.0,131601.0,128966.0,127365.0,126508.0,127021.0,126916.0
Newcastle,630882.0,634743.0,636920.0,641330.0,645185.0,648113.0,642710.0,640692.0,638854.0,641177.0,642244.0,645467.0
Newman,302487.0,303574.0,303507.0,306237.0,307067.0,307992.0,306028.0,306002.0,306000.0,309072.0,311651.0,314676.0
Newport Beach,2788390.5,2784484.0,2791251.5,2791999.0,2795610.0,2790932.5,2807028.0,2839610.0,2882027.0,2907345.5,2879549.0,2841342.5
Nicasio,1327172.5,1330825.0,1336295.5,1330538.0,1326538.0,1324942.0,1320939.0,1315459.0,1305725.0,1298703.0,1296908.5,1300300.0
Nice,180769.0,181557.0,181750.0,181059.0,181320.0,182647.0,185544.0,189871.0,193294.0,194508.0,194298.0,194841.0
Nicolaus,600943.0,607077.0,607213.0,604000.0,599251.0,579841.0,548018.0,509090.0,486766.0,477060.0,476000.0,471555.0
Nipomo,658740.5,658125.5,658433.0,659454.0,663612.5,663029.0,658227.5,655869.0,657544.0,660775.0,660868.0,660459.0
Norco,546926.0,548777.0,551441.0,553504.0,554577.0,554495.0,555145.0,555963.0,556793.0,557486.0,557055.0,559787.0
North Fork,301964.0,301370.0,301133.0,301442.0,301120.0,300583.0,298969.0,298135.0,298141.0,300037.0,301714.0,303406.0
North Tustin,940674.0,938910.0,939177.0,938297.0,938914.0,937639.0,940312.0,944803.0,954603.0,959980.0,957810.0,952026.0
Norwalk,487572.0,485517.0,484164.0,484345.0,485361.0,486121.0,484453.0,484143.0,485745.0,489355.0,492048.0,495037.0
Novato,876060.0,878433.0,881159.0,879724.0,878501.0,877288.0,873258.0,865556.0,858419.0,853593.0,852669.0,850942.0
Nuevo,351061.0,352560.0,354630.0,355599.0,355709.0,355118.0,357053.0,358686.0,359113.0,359377.0,359048.0,362221.0
Oak Park,826227.0,824804.0,824774.0,827257.0,828948.0,828728.0,827143.0,828331.0,830192.0,832677.0,831698.0,834835.0
Oak Run,281602.0,282909.0,282048.0,281534.0,283559.0,289279.0,292454.0,293064.0,292450.0,292987.0,293675.0,294166.0
Oak View,597097.0,596504.0,598518.0,600280.0,599731.0,595686.0,591735.0,590573.0,592486.0,595779.0,597067.0,600987.0
Oakdale,447791.0,447531.5,446719.0,448170.5,449624.5,452199.0,452614.5,454198.0,454609.0,455355.0,455200.0,455942.5
