lat,lon,acq_date,month,cities
32.598373,-117.010345,8/14/2019,8,Chula Vista
32.598419,-117.009148,12/18/2019,12,Chula Vista
32.598423,-117.012177,10/12/2019,10,Chula Vista
32.598434,-117.009476,3/14/2019,3,Chula Vista
32.598469,-117.009926,7/2/2019,7,Chula Vista
32.598476,-117.013847,10/23/2019,10,Chula Vista
32.59848,-117.013329,10/16/2019,10,Chula Vista
32.598499,-117.012085,11/3/2019,11,Chula Vista
32.598572,-117.011604,5/7/2019,5,Chula Vista
32.598724,-117.009804,11/23/2019,11,Chula Vista
32.59877,-117.012833,1/24/2019,1,Chula Vista
32.598984,-117.009743,10/2/2019,10,Chula Vista
32.598991,-117.009857,7/15/2019,7,Chula Vista
32.599007,-117.011505,4/2/2019,4,Chula Vista
32.599041,-117.010796,11/2/2019,11,Chula Vista
32.599072,-117.010468,1/8/2019,1,Chula Vista
32.599178,-117.011742,1/23/2019,1,Chula Vista
32.599266,-117.009285,12/9/2019,12,Chula Vista
32.59938,-117.010223,1/28/2019,1,Chula Vista
32.599384,-117.011414,9/20/2019,9,Chula Vista
32.599442,-117.011536,11/18/2019,11,Chula Vista
32.599667,-117.011223,6/10/2019,6,Chula Vista
32.599747,-117.011635,10/7/2019,10,Chula Vista
32.599911,-117.01133,8/21/2019,8,Chula Vista
32.599957,-117.012344,12/20/2019,12,Chula Vista
32.600243,-114.601463,3/19/2019,3,Yuma
32.600857,-114.606163,3/19/2019,3,Yuma
32.601425,-114.603813,3/18/2019,3,Yuma
32.602016,-114.599388,3/18/2019,3,Yuma
32.6032,-114.5783,2/8/2019,2,Yuma
32.6064,-114.6197,2/1/2019,2,Yuma
32.6085,-114.6412,2/4/2019,2,Yuma
32.610859,-114.641457,2/4/2019,2,Yuma
32.618,-116.1331,12/19/2019,12,Jacumba
32.6182,-116.1261,11/23/2019,11,Jacumba
32.62973,-114.543816,2/4/2019,2,Yuma
32.630375,-114.539719,2/4/2019,2,Yuma
32.640972,-114.531738,5/23/2019,5,Yuma
32.643353,-114.638084,6/25/2019,6,Yuma
32.644005,-114.637268,6/25/2019,6,Yuma
32.645168,-114.532967,5/23/2019,5,Yuma
32.645248,-114.59301,9/3/2019,9,Yuma
32.645252,-114.641922,6/25/2019,6,Yuma
32.645443,-114.637802,6/25/2019,6,Yuma
32.646149,-114.528313,5/23/2019,5,Yuma
32.646984,-115.651962,2/22/2019,2,Calexico
32.647976,-115.647957,2/22/2019,2,Calexico
32.648388,-114.635124,6/27/2019,6,Yuma
32.648766,-114.634644,6/25/2019,6,Yuma
32.649231,-114.639725,6/27/2019,6,Yuma
32.649368,-114.637459,6/25/2019,6,Yuma
32.6495,-114.652,6/25/2019,6,Yuma
32.649654,-114.635201,6/25/2019,6,Yuma
32.649658,-114.642838,6/25/2019,6,Yuma
32.64978,-115.589516,7/2/2019,7,Calexico
32.650349,-115.559067,10/10/2019,10,Calexico
32.650593,-115.56649,10/10/2019,10,Calexico
32.650642,-115.563164,10/10/2019,10,Calexico
32.650856,-114.639778,6/25/2019,6,Yuma
32.650887,-114.639832,6/25/2019,6,Yuma
32.6517,-114.6249,6/25/2019,6,Yuma
32.651806,-116.271988,1/7/2019,1,Boulevard
32.652397,-115.525795,4/27/2019,4,Calexico
32.653183,-114.558899,3/18/2019,3,Yuma
32.653576,-115.613762,9/21/2019,9,Calexico
32.654408,-115.663147,1/3/2019,1,El Centro
32.655464,-116.272552,1/7/2019,1,Boulevard
32.6565,-114.6376,6/25/2019,6,Yuma
32.656624,-114.559532,3/18/2019,3,Yuma
32.657219,-114.555092,3/18/2019,3,Yuma
32.657234,-115.646179,1/3/2019,1,Calexico
32.657532,-115.562798,10/10/2019,10,Calexico
32.657757,-115.663925,1/3/2019,1,El Centro
32.6584,-116.2738,1/7/2019,1,Boulevard
32.660168,-115.536545,4/18/2019,4,Calexico
32.660583,-115.646957,1/3/2019,1,El Centro
32.6613,-115.6377,11/23/2019,11,Calexico
32.661827,-115.539429,10/23/2019,10,Calexico
32.663937,-115.647736,1/3/2019,1,El Centro
32.664158,-114.55098,1/10/2019,1,Yuma
32.665874,-115.656998,1/3/2019,1,El Centro
32.669224,-115.657776,1/3/2019,1,El Centro
32.672577,-115.658554,1/3/2019,1,El Centro
32.6739,-115.6576,11/23/2019,11,El Centro
32.673988,-115.309464,6/6/2019,6,Heber
32.674664,-115.313576,6/6/2019,6,Heber
32.676872,-114.717751,4/28/2019,4,Yuma
32.67775,-114.086418,1/25/2019,1,Wellton
32.677876,-117.245209,11/18/2019,11,Coronado
32.680737,-115.668327,1/20/2019,1,El Centro
32.681641,-115.663956,1/20/2019,1,El Centro
32.682045,-115.689308,12/10/2019,12,El Centro
32.683907,-115.673874,1/20/2019,1,El Centro
32.684814,-115.66951,1/20/2019,1,El Centro
32.685719,-115.665138,1/20/2019,1,El Centro
32.686253,-115.543861,7/2/2019,7,Calexico
32.686573,-114.498207,9/27/2019,9,Yuma
32.686626,-115.54184,7/2/2019,7,Calexico
32.687859,-115.392181,7/10/2019,7,Heber
32.688889,-115.670685,1/20/2019,1,El Centro
32.688988,-115.558594,7/2/2019,7,Calexico
32.6891,-115.3949,6/26/2019,6,Heber
32.689434,-115.556541,7/2/2019,7,Calexico
32.689793,-115.666313,1/20/2019,1,El Centro
32.690201,-115.540916,7/2/2019,7,Calexico
32.691135,-115.545807,7/2/2019,7,Calexico
32.69223,-114.999702,1/4/2019,1,Holtville
32.692398,-114.23745,1/24/2019,1,Wellton
32.692432,-115.636795,1/26/2019,1,El Centro
32.693005,-115.555588,7/2/2019,7,Calexico
32.693222,-115.554428,7/28/2019,7,Calexico
32.693607,-114.999947,1/4/2019,1,Holtville
32.693813,-115.599342,2/24/2019,2,Calexico
32.693935,-115.560478,7/2/2019,7,Calexico
32.6949,-115.6076,2/23/2019,2,El Centro
32.6964,-115.5943,2/23/2019,2,Calexico
32.696575,-115.554626,7/2/2019,7,Calexico
32.698139,-115.658051,11/26/2019,11,El Centro
32.698788,-115.406731,2/8/2019,2,Heber
32.699837,-114.449661,10/17/2019,10,Yuma
32.701714,-115.600655,2/23/2019,2,El Centro
32.702236,-115.593987,2/23/2019,2,El Centro
32.702606,-115.407318,2/8/2019,2,Heber
32.702843,-115.668297,5/24/2019,5,El Centro
32.703899,-114.300323,1/25/2019,1,Yuma
32.707794,-115.40834,8/14/2019,8,Heber
32.711472,-114.759132,9/24/2019,9,Yuma
32.711708,-114.494057,7/3/2019,7,Yuma
32.713989,-114.75943,3/5/2019,3,Yuma
32.715237,-114.764145,3/5/2019,3,Yuma
32.715492,-115.631279,7/5/2019,7,El Centro
32.715721,-114.760254,3/6/2019,3,Yuma
32.715843,-115.620827,1/26/2019,1,El Centro
32.715881,-114.760849,8/9/2019,8,Yuma
32.715988,-115.621033,1/26/2019,1,El Centro
32.716297,-114.422737,9/27/2019,9,Yuma
32.717323,-115.622879,1/26/2019,1,El Centro
32.719685,-114.423553,9/27/2019,9,Yuma
32.7232,-115.6407,6/9/2019,6,El Centro
32.726772,-114.313522,8/31/2019,8,Yuma
32.731163,-114.310455,9/14/2019,9,Yuma
32.731979,-114.309608,9/14/2019,9,Yuma
32.734745,-114.520622,10/14/2019,10,Yuma
32.735237,-114.339699,7/1/2019,7,Yuma
32.73632,-115.560638,8/9/2019,8,El Centro
32.73745,-114.341614,7/1/2019,7,Yuma
32.737648,-114.519867,10/14/2019,10,Yuma
32.739475,-115.59359,5/25/2019,5,El Centro
32.739754,-114.503113,7/2/2019,7,Yuma
32.739971,-115.717751,1/3/2019,1,El Centro
32.740128,-114.448982,10/24/2019,10,Yuma
32.7403,-115.5926,6/2/2019,6,El Centro
32.7406,-114.4539,10/23/2019,10,Yuma
32.740871,-114.611191,12/21/2019,12,Yuma
32.740883,-115.691483,1/3/2019,1,El Centro
32.741394,-115.709236,1/3/2019,1,El Centro
32.741898,-115.72702,1/3/2019,1,El Centro
32.742104,-115.704987,1/3/2019,1,El Centro
32.743839,-115.577385,7/5/2019,7,El Centro
32.745251,-115.727814,1/3/2019,1,El Centro
32.746082,-115.517197,11/8/2019,11,Heber
32.747387,-115.715057,1/3/2019,1,El Centro
32.74818,-115.41748,10/22/2019,10,Heber
32.748604,-115.728592,1/3/2019,1,El Centro
32.749012,-115.627411,7/5/2019,7,El Centro
32.750744,-115.715836,1/3/2019,1,El Centro
32.752991,-115.631172,7/5/2019,7,El Centro
32.754097,-115.716614,1/3/2019,1,El Centro
32.754498,-115.409081,3/4/2019,3,Heber
32.754608,-115.734413,1/3/2019,1,El Centro
32.754993,-115.690346,1/3/2019,1,El Centro
32.7551,-115.4735,2/8/2019,2,Heber
32.755615,-115.4039,3/4/2019,3,Heber
32.756077,-115.411293,3/4/2019,3,Heber
32.756931,-115.699623,1/3/2019,1,El Centro
32.757229,-115.406128,3/4/2019,3,Heber
32.75745,-115.717392,1/3/2019,1,El Centro
32.758877,-115.410416,3/4/2019,3,Heber
32.759998,-115.405243,3/4/2019,3,Heber
32.761303,-115.394012,1/25/2019,1,Heber
32.7627,-115.4406,2/8/2019,2,Heber
32.763828,-115.500656,9/1/2019,9,Heber
32.764118,-117.098213,10/15/2019,10,San Diego
32.765007,-115.395004,1/25/2019,1,Heber
32.766014,-115.389679,1/25/2019,1,Heber
32.7672,-114.4051,1/25/2019,1,Yuma
32.769524,-115.71022,1/26/2019,1,El Centro
32.7696,-115.7064,1/26/2019,1,El Centro
32.769756,-114.534111,10/12/2019,10,Yuma
32.772968,-114.343376,7/1/2019,7,Yuma
32.773094,-114.53331,10/12/2019,10,Yuma
32.775414,-114.968544,6/13/2019,6,Holtville
32.7782,-114.3613,1/25/2019,1,Yuma
32.779354,-114.969635,6/13/2019,6,Holtville
32.78017,-114.965591,6/13/2019,6,Holtville
32.7815,-114.4019,1/25/2019,1,Yuma
32.784924,-114.962616,6/13/2019,6,Holtville
32.789845,-115.711235,4/8/2019,4,Imperial
32.789879,-114.958656,6/13/2019,6,Holtville
32.790474,-115.710114,4/8/2019,4,Imperial
32.792,-114.3587,1/25/2019,1,Yuma
32.79351,-115.665222,5/8/2019,5,El Centro
32.793816,-114.959747,6/13/2019,6,Holtville
32.795013,-114.953789,6/13/2019,6,Holtville
32.795223,-115.420074,10/21/2019,10,Heber
32.795269,-115.663368,5/8/2019,5,El Centro
32.796032,-115.662727,5/7/2019,5,El Centro
32.796234,-114.947739,6/13/2019,6,Winterhaven
32.796661,-115.661438,5/8/2019,5,El Centro
32.796822,-115.663513,5/8/2019,5,El Centro
32.797081,-115.669624,5/8/2019,5,El Centro
32.797112,-115.712708,11/11/2019,11,Imperial
32.797649,-115.661743,5/8/2019,5,El Centro
32.797768,-115.65921,5/8/2019,5,El Centro
32.797932,-115.662971,5/10/2019,5,El Centro
32.797977,-115.663132,5/9/2019,5,El Centro
32.798386,-115.666962,5/8/2019,5,El Centro
32.798828,-115.663315,5/8/2019,5,El Centro
32.80051,-115.420647,10/21/2019,10,Heber
32.801491,-115.679291,11/9/2019,11,Imperial
32.805313,-114.943832,6/13/2019,6,Winterhaven
32.809246,-114.944901,6/13/2019,6,Winterhaven
32.816055,-117.131569,2/8/2019,2,San Diego
32.822903,-117.225349,8/30/2019,8,San Diego
32.829357,-114.460556,2/18/2019,2,Yuma
32.829708,-114.445518,2/17/2019,2,Yuma
32.830589,-114.44635,2/17/2019,2,Yuma
32.830872,-114.451591,2/17/2019,2,Yuma
32.830967,-114.450256,2/17/2019,2,Yuma
32.83252,-114.462616,2/18/2019,2,Yuma
32.8348,-114.4625,2/17/2019,2,Yuma
32.8363,-114.4664,2/16/2019,2,Yuma
32.837,-114.4235,2/17/2019,2,Yuma
32.837116,-114.456261,2/17/2019,2,Yuma
32.837395,-114.461388,2/17/2019,2,Yuma
32.8379,-114.4737,2/16/2019,2,Yuma
32.839195,-114.457718,2/17/2019,2,Yuma
32.843079,-114.455734,2/17/2019,2,Yuma
32.843357,-114.460861,2/17/2019,2,Yuma
32.843842,-114.455986,2/17/2019,2,Yuma
32.844864,-114.455589,2/17/2019,2,Yuma
32.844898,-114.451828,2/17/2019,2,Yuma
32.8456,-114.4416,2/17/2019,2,Yuma
32.8475,-114.4617,2/17/2019,2,Yuma
32.849037,-114.455215,2/17/2019,2,Yuma
32.849319,-114.46035,2/17/2019,2,Yuma
32.8504,-115.6961,11/10/2019,11,Imperial
32.850525,-114.453453,2/17/2019,2,Yuma
32.851,-114.4639,2/17/2019,2,Yuma
32.851807,-114.458275,2/17/2019,2,Yuma
32.8524,-115.6842,11/10/2019,11,Imperial
32.853352,-115.619637,8/17/2019,8,Imperial
32.855625,-117.027679,8/14/2019,8,Santee
32.856159,-117.147522,4/13/2019,4,San Diego
32.856476,-117.026985,7/29/2019,7,Santee
32.856846,-117.02774,8/13/2019,8,Santee
32.857067,-117.145821,10/22/2019,10,San Diego
32.857201,-117.147881,12/24/2019,12,San Diego
32.857212,-117.146965,10/23/2019,10,San Diego
