,city,population,violentcrime,murder,rape,robbery,aggassault,propertycrime,burglary,theft,vehicletheft,arson,firecount,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,yearly median
114,Lindsay,13708,69,0,5,13,51,250,48,119,83,8,22,190205.0,189749.0,189402.0,190482.0,192185.0,193059.0,192067.0,191646.0,192404.0,195067.0,195860.0,196463.0,192126.0
115,Cupertino,60357,55,1,6,14,34,1018,175,803,40,1,121,2247384.0,2210170.0,2184472.0,2173771.0,2164277.0,2147679.0,2127594.0,2111827.0,2115674.0,2116127.0,2119792.0,2122713.0,2137636.5
116,Chino,93348,329,3,35,96,195,2224,376,1649,199,5,1,493973.0,493647.0,493480.5,493264.5,493838.0,493881.0,492476.0,491851.5,491392.5,492901.0,494515.5,496294.0,493563.75
117,Buellton,5142,3,0,0,0,3,54,15,31,8,0,11,576565.0,578130.0,578613.0,580333.0,580623.0,582092.0,582899.0,587282.0,592053.0,598623.0,601570.0,605054.0,582495.5
118,Rio Vista,9502,11,0,2,3,6,140,31,87,22,0,3,387850.0,385656.0,385282.0,387453.0,388719.0,389310.0,390542.0,391528.0,392063.0,392187.0,391329.0,389806.0,389558.0
119,Madera,66250,334,2,32,77,223,1301,235,824,242,10,198,258219.0,258185.0,257869.0,257210.0,257937.0,259225.0,259861.0,260276.0,261204.0,262208.0,263726.0,265705.0,259543.0
120,Goleta,30930,40,0,2,6,32,509,114,355,40,0,2,858836.0,859529.0,853440.0,851142.0,849092.0,851840.0,850624.0,851025.0,850048.0,854473.0,858036.0,864092.0,852640.0
121,Concord,130615,541,2,67,234,238,4560,434,3512,614,23,148,552900.5,550965.0,547498.0,545972.5,546371.0,544575.5,543954.0,543079.5,546001.5,549829.0,554051.0,557687.5,546934.5
122,Carpinteria,13514,11,1,0,3,7,155,19,116,20,0,1,938513.0,940954.0,934706.0,932307.0,928815.0,933719.0,930479.0,929834.0,926265.0,928367.0,929505.0,932913.0,931393.0
123,Lake Elsinore,70262,173,3,3,43,124,2005,233,1409,363,4,8,353968.0,355225.0,356922.0,357836.0,358322.0,358365.0,358419.0,358344.0,357769.0,358870.0,359525.0,362372.0,358333.0
124,Exeter,10557,26,0,5,5,16,265,52,188,25,1,11,234854.0,234748.0,234556.0,235428.0,236501.0,237231.0,235817.0,235168.0,235285.0,237518.0,237365.0,237531.0,235622.5
125,Chowchilla,18792,39,0,2,3,34,234,71,109,54,7,90,247407.0,248355.0,248696.0,248969.0,250222.0,252002.0,253384.0,254898.0,256863.0,258078.0,259825.0,262320.0,252693.0
126,King City,14170,19,0,3,9,7,148,43,80,25,10,19,330086.0,333361.0,335138.0,334658.0,333417.0,333128.0,333629.0,334362.0,334471.0,335042.0,336066.0,336988.0,334416.5
127,Jurupa Valley,110111,317,6,7,86,218,2494,406,1346,742,8,22,456502.5,458066.5,459993.5,460377.0,459757.5,459247.5,460170.5,460887.5,461109.5,463142.5,464262.0,468177.0,460273.75
128,La Canada Flintridge,20223,15,0,2,6,7,323,114,198,11,0,1,1737718.0,1731616.0,1727696.0,1727142.0,1726804.0,1729452.0,1695313.0,1674717.0,1657496.0,1680375.0,1691082.0,1703243.0,1715023.5
129,Fontana,215883,739,6,83,206,444,3094,483,1846,765,9,135,382633.0,383293.0,384887.0,386221.0,388295.0,389152.0,388301.0,388211.0,388500.0,390786.0,392878.0,395194.0,388298.0
130,Lompoc,42818,291,7,29,32,223,1057,238,583,236,18,1,360466.0,360790.0,359443.0,358374.0,357557.0,358409.0,358212.0,358845.0,358632.0,360521.0,361648.0,364112.0,359144.0
131,Corning,7537,28,0,6,4,18,211,51,127,33,1,52,232677.0,233633.0,235228.0,237340.0,239473.0,240853.0,241412.0,241911.0,243135.0,245075.0,246881.0,248457.0,241132.5
132,Isleton,849,7,1,0,0,6,4,1,2,1,0,11,295750.0,295647.0,295765.0,299368.0,302845.0,305697.0,307431.0,309156.0,311064.0,312011.0,314593.0,318339.0,306564.0
133,Guadalupe,7696,15,0,2,3,10,82,32,34,16,2,1,356136.0,357577.0,358055.0,359620.0,358882.0,359804.0,357076.0,356251.0,354645.0,357097.0,358642.0,361900.0,357816.0
134,San Jacinto,49452,108,2,1,68,37,1637,334,1018,285,5,10,292409.5,293577.5,295325.0,296532.5,297210.0,297621.5,298096.5,298719.0,298739.5,300260.5,300970.0,303570.0,297859.0
135,Berkeley,122788,618,0,74,369,175,6256,771,4993,492,17,1,1186389.5,1182330.5,1181975.5,1183287.5,1180747.5,1186037.0,1198596.0,1212059.5,1225440.0,1229844.5,1230775.0,1235571.0,1192492.75
136,Fillmore,15911,20,0,5,3,12,123,24,89,10,4,30,428539.0,430358.5,430365.0,430990.0,432102.0,434712.5,437604.5,440535.0,442530.5,445517.5,449960.5,453337.0,436158.5
137,Santa Rosa,177884,857,3,146,126,582,2874,486,2077,311,28,154,607251.0,600929.0,596703.0,592960.0,593600.0,597515.0,600625.0,601460.0,600407.0,601101.0,599542.0,599077.0,599974.5
138,Hollister,40399,114,1,15,27,71,311,61,174,76,5,10,610829.0,602219.0,597207.0,599424.0,602868.0,604772.0,605774.0,606791.0,607743.0,604383.0,602856.0,605103.0,604577.5
139,Kerman,15223,23,0,3,4,16,308,58,214,36,0,85,250551.0,252426.0,255033.0,256195.0,256021.0,256129.0,257757.0,260347.0,261390.0,262401.0,262592.0,263218.0,256976.0
140,Gilroy,60106,251,5,37,69,140,1479,186,1034,259,23,2,775848.0,765173.0,758808.0,759206.0,760226.0,757988.0,755901.0,754348.0,759909.0,760842.0,764529.0,767501.0,760067.5
141,Antioch,112641,648,12,55,238,343,3199,511,2078,610,59,4,540668.0,541721.5,538056.5,533615.0,531643.0,531648.5,533646.0,535114.5,538162.5,540554.5,543292.0,547181.0,538109.5
